,Temperature_C,Precipitation_mm,Humidity_percent,Solar_Irradiance_W_m2,Hectares_Simulated,Yield_kg_ha,Grape_Sugar_Level,Production_Cost_EUR_ha,Selling_Price_EUR_kg,Revenue_EUR_ha
2015-08-01,24.092886146581048,0.0,67.76165026986261,264.26818891476626,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-02,25.087328517760938,9.728676520620937,68.12214108652616,262.8218871013052,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-03,25.41706144439823,1.5925279881645023,63.15858733597025,206.2072947867197,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-04,25.52330302523494,3.5984286603981017,86.04673821731801,295.9258672978875,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-05,26.042841689002838,0.48510985233943493,57.13477860184119,227.26679810921453,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-06,26.79778943318649,0.0,62.33279852151699,217.37951486023596,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-07,28.694538906051843,0.0,55.94973984017519,364.4100177564908,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-08,28.414761146678153,0.0,53.66715878381639,209.16538462625104,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-09,28.58162386395983,0.0,52.497142077230194,309.77360832099106,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-10,27.609961548060014,0.0,64.77797172404863,197.45999633434175,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-11,27.97018358242815,0.0,53.202964196794454,244.66202912043505,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-12,27.198114792989475,0.0,77.17676536093522,217.25863312655815,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-13,26.38820453675457,0.0,42.681431968953426,284.5220465815561,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-14,26.581918427132962,0.0,63.50580563593468,313.6313065027634,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-15,26.042476001705193,2.7483053173227967,63.68243498888446,242.22382784361645,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-16,24.984129374998922,0.0,36.36308460101647,237.295021355358,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-17,24.8077592407162,5.40684716523546,73.61266191225788,312.2342946787205,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-18,24.327444590585884,0.0,51.816646864314556,254.9839821016206,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-19,24.45645412192785,0.0,49.100630776920205,206.15406486920403,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-20,24.637994995083996,0.0,83.45706861027418,273.72274489497744,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
2015-08-21,23.781205179859445,0.0,76.6610018445077,267.5795202286438,600,10279.290983717332,18.551643452757553,8000.0,3.5784603607013166,28784.035321346913
